County,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Gilmer County,0.36,0.38,0.40,0.44,0.48,0.52,0.57,0.66,0.71,0.78,0.86,0.92,1.00,1.11,1.26,1.41,1.54,1.73,1.91,2.26,2.79,3.32,3.86,4.51,5.06,5.68,6.75,6.61,8.09,8.04,8.11,8.73,8.89,9.08,9.28,10.97376,13.24,14.53,13.87,14.48,18.76,21.65,N/A
Grant County,0.42,0.44,0.46,0.50,0.53,0.57,0.60,0.71,0.73,0.80,0.84,0.95,0.96,1.03,1.16,1.32,1.41,1.62,1.73,2.03,2.41,2.86,3.22,3.69,4.16,4.53,5.25,5.40,5.84,6.08,6.45,6.69,7.07,6.87,6.90,16.0894,19.41,21.30,20.33,21.23,27.50,31.74,43.00
Greenbrier County,0.61,0.62,0.63,0.76,0.83,0.93,1.03,1.16,1.36,1.52,1.73,1.82,1.95,2.27,2.50,2.93,3.24,3.56,3.88,4.51,5.73,7.11,7.58,9.05,10.62,11.06,12.30,12.78,14.99,14.15,16.14,18.55,18.23,16.76,18.06,30.09719,36.30,39.83,38.03,39.71,51.43,59.36,70.90
Hampshire County,0.53,0.57,0.58,0.64,0.73,0.79,0.86,1.00,1.11,1.23,1.32,1.48,1.58,1.80,2.05,2.26,2.52,2.80,3.10,3.59,4.27,5.15,5.88,7.42,8.61,8.71,9.24,10.83,11.05,11.75,13.32,13.92,14.33,14.88,14.47,35.81023,43.19,47.39,45.25,47.25,61.19,70.62,72.00
Hancock County,0.57,0.63,0.68,0.78,0.85,0.96,1.08,1.39,1.51,1.65,1.80,2.00,2.24,2.48,2.78,3.25,3.52,4.00,4.47,5.23,6.52,7.73,8.61,10.78,12.37,13.34,15.61,17.93,18.40,18.63,20.90,21.24,23.61,25.85,25.96,39.88366,48.10,52.79,50.40,52.63,68.15,78.65,46.10
Hardy County,0.44,0.46,0.46,0.50,0.55,0.58,0.63,0.70,0.77,0.84,0.92,0.97,1.02,1.15,1.25,1.37,1.52,1.70,1.84,2.17,2.58,3.06,3.46,3.98,4.56,4.86,5.48,5.92,6.56,6.78,7.21,7.53,7.74,7.91,7.74,17.63556,21.27,23.34,22.29,23.27,30.14,34.79,44.00
Harrison County,0.72,0.73,0.87,0.92,0.93,1.03,1.13,1.31,1.39,1.62,1.75,1.89,2.07,2.29,2.47,2.77,3.17,3.90,3.86,4.38,5.00,6.59,8.60,8.13,10.06,9.91,11.75,13.56,13.51,13.58,15.83,17.36,16.99,19.07,17.60,27.78112,33.51,36.77,35.11,36.66,47.48,54.79,69.30
Jackson County,0.31,0.35,0.37,0.42,0.47,0.52,0.59,0.71,0.83,0.89,0.98,1.09,1.19,1.32,1.50,1.72,2.03,2.20,2.43,2.86,3.60,4.44,4.97,5.54,6.29,7.36,8.58,8.68,10.21,10.08,11.42,11.40,11.99,13.85,13.50,19.83531,23.92,26.25,25.07,26.17,33.90,39.12528,50.50
Jefferson County,0.70,0.79,0.77,0.84,0.92,0.99,1.08,1.23,1.39,1.50,1.71,1.85,1.86,2.07,2.48,2.75,2.96,3.25,3.57,4.24,4.75,5.79,6.58,8.08,8.66,8.65,10.43,12.31,12.14,12.65,12.60,13.67,14.91,15.78,15.07,29.20357,35.22,38.65,36.91,38.54,49.91,57.60,40.70
Kanawha County,0.50,0.55,0.59,0.62,0.70,0.80,1.14,1.07,1.45,1.33,1.54,1.57,1.76,2.05,2.47,2.74,3.16,3.59,3.80,4.71,6.12,7.03,8.83,11.01,12.91,12.13,14.61,13.87,20.89,14.96,19.41,24.16,22.07,24.20,26.16,45.15722,54.46,59.76,57.06,59.59,77.17,89.06,102.60
Lewis County,0.46,0.49,0.50,0.56,0.63,0.69,0.75,0.85,0.95,1.04,1.14,1.30,1.35,1.53,1.74,1.86,2.08,2.35,2.61,3.01,3.73,4.36,5.13,5.91,6.43,7.10,8.32,8.74,9.82,9.71,10.24,10.47,10.93,11.73,11.10,17.77164,21.43,23.52,22.46,23.45,30.37,35.06,29.00
Lincoln County,0.48,0.57,0.62,0.71,0.81,0.94,1.05,1.26,1.48,1.66,1.89,2.16,2.49,2.70,3.16,3.67,4.00,4.63,5.04,6.09,7.35,9.43,10.06,12.10,14.31,15.34,18.72,19.90,20.63,21.59,25.04,28.17,25.34,27.31,29.70,47.33373,57.09,62.65,59.82,62.46,80.88,93.34,75.40
Logan County,0.95,1.05,1.12,1.31,1.57,1.86,2.19,2.48,2.74,3.08,3.73,3.85,4.45,5.09,5.91,6.63,7.16,8.11,8.71,10.87,12.89,14.65,17.00,19.00,23.86,24.61,29.80,31.28,29.83,28.99,36.30,39.91,36.91,41.99,41.65,66.21871,79.85,87.64,83.67,87.37,113.14,130.57,146.90
Marion County,0.60,0.63,0.63,0.75,0.77,0.89,0.88,1.04,1.11,1.19,1.37,1.69,1.48,1.71,1.89,2.02,2.16,2.38,2.59,2.91,3.66,4.49,5.04,5.85,6.14,6.58,8.20,9.48,9.11,9.10,8.64,9.70,9.33,9.87,10.07,20.62908,24.88,27.30,26.07,27.22,35.25901,40.69346,55.40
Marshall County,0.38,0.41,0.43,0.49,0.58,0.62,0.69,0.79,0.90,1.00,1.11,1.21,1.30,1.46,1.72,1.89,2.17,2.62,2.69,3.09,3.78,4.58,5.50,5.99,6.87,7.83,8.69,10.18,11.04,11.16,12.95,13.27,14.20,14.98,14.11,20.85613,25.15,27.61,26.36,27.52,35.64,41.14,34.00
Mason County,0.49,0.54,0.58,0.65,0.74,0.85,0.96,1.13,1.33,1.46,1.73,1.86,2.04,2.42,2.68,3.08,3.53,3.99,4.59,5.28,7.00,7.43,8.67,11.51,11.29,12.23,14.69,17.73,16.65,18.33,19.78,19.76,21.00,22.96,24.27,38.40754,46.32,50.84,48.54,50.68,65.63,75.75,68.00
McDowell County,1.26,1.30,1.54,1.60,1.98,2.16,2.34,2.92,3.34,3.78,4.57,4.89,5.51,6.09,7.47,8.11,8.83,10.69,11.01,14.35,16.70,24.75,22.13,27.94,30.62,32.84,35.58,43.97,49.69,44.64,52.01,59.21,54.95,60.75,53.98,83.49212,100.67,110.47,105.49,110.14,142.62,164.58,190.50
Mercer County,0.71,0.93,1.01,1.12,1.20,1.35,1.59,1.80,1.99,2.50,2.63,2.96,3.24,3.84,4.48,5.15,5.40,6.85,6.80,8.48,10.49,14.65,16.72,17.98,19.39,20.16,23.20,28.02,30.59,28.60,34.65,41.32,37.99,35.04,42.63,55.82989,67.33,73.88,70.55,73.66,95.39,110.10,102.20
Mineral County,0.46,0.47,0.48,0.53,0.59,0.63,0.67,0.77,0.81,0.93,0.97,1.04,1.13,1.29,1.40,1.56,1.66,1.90,2.03,2.35,2.86,3.61,3.77,4.38,4.90,5.24,6.06,6.86,7.10,7.66,7.91,8.39,8.60,9.87,8.74,21.28475,25.67,28.17,26.90,28.09,36.37,41.98,55.90
Mingo County,0.84,0.94,1.00,1.12,1.36,1.59,1.65,2.03,2.44,2.63,3.06,3.45,3.90,4.34,4.90,5.62,6.41,7.51,7.85,11.15,12.40,14.48,16.52,21.42,22.22,23.33,27.25,28.82,35.70,33.38,38.12,38.48,42.63,41.34,49.15,59.22142,71.42,78.37,74.83,78.14,101.18,116.77,75.30
Monongalia County,0.40,0.41,0.44,0.46,0.48,0.53,0.60,0.64,0.69,0.79,0.81,0.88,0.91,1.03,1.12,1.25,1.37,1.56,1.67,2.04,2.51,2.99,3.74,4.09,4.69,5.06,5.26,5.72,6.60,6.60,6.39,7.00,7.14,7.35,7.79,17.03875,20.55,22.55,21.53,22.49,29.12,33.61,73.00
Monroe County,0.53,0.58,0.61,0.70,0.79,0.88,0.96,1.11,1.28,1.41,1.57,1.72,1.91,2.13,2.47,2.77,3.09,3.46,3.82,4.54,5.77,6.89,7.82,9.35,10.18,12.11,12.84,14.22,15.55,16.25,18.03,18.58,19.10,21.24,21.24,30.12236,36.33,39.87,38.07,39.75,51.48,59.41,35.00
Morgan County,0.53,0.59,0.60,0.69,0.76,0.81,0.91,1.04,1.17,1.29,1.45,1.61,1.73,1.98,2.21,2.52,2.76,3.14,3.41,3.94,4.73,5.76,6.34,8.03,8.04,9.73,10.46,11.09,12.44,13.38,13.38,14.47,15.27,16.90,16.98,33.83413,40.80,44.78,42.76,44.65,57.82,66.73,56.00
Nicholas County,0.49,0.55,0.58,0.67,0.76,0.85,0.94,1.12,1.30,1.46,1.64,1.92,2.08,2.26,2.65,2.94,3.31,3.70,4.20,5.06,5.93,7.32,8.58,9.51,11.15,11.48,13.62,13.66,16.52,16.56,17.74,21.99,21.38,21.95,21.13,28.89511,34.85,38.24,36.51,38.13,49.38,56.99,53.40
Ohio County,0.47,0.50,0.51,0.58,0.62,0.72,0.74,0.88,0.96,1.08,1.19,1.28,1.37,1.53,1.90,1.95,2.16,2.64,2.84,3.37,3.91,4.87,5.63,7.02,7.73,8.24,10.18,10.50,11.34,12.08,12.85,13.66,13.73,14.40,15.41,27.16645,32.76,35.96,34.33,35.85,46.43,53.58,62.70
Pendleton County,0.45,0.48,0.48,0.52,0.56,0.60,0.64,0.73,0.82,0.86,0.94,1.00,1.05,1.14,1.28,1.41,1.55,1.75,1.91,2.22,2.63,3.08,3.49,4.19,4.51,4.90,5.52,5.77,6.34,6.62,6.99,7.08,7.30,7.72,7.50,13.51558,16.30,17.89,17.08,17.84,23.10,26.66,N/A
Pleasants County,0.41,0.44,0.45,0.50,0.56,0.62,0.66,0.74,0.82,0.94,0.96,1.05,1.12,1.27,1.41,1.57,1.72,1.97,2.15,2.55,3.03,3.66,4.12,4.99,5.41,5.95,6.65,7.34,7.77,8.36,8.74,9.29,9.62,9.95,10.48,14.99365,18.08,19.85,18.95,19.79,25.62,29.58,N/A
Pocahontas County,0.66,0.72,0.75,0.83,0.94,1.03,1.14,1.29,1.42,1.59,1.73,1.94,2.08,2.35,2.62,2.99,3.28,3.66,4.00,4.63,5.70,7.02,7.53,8.44,10.21,10.49,11.88,12.62,13.61,13.60,15.03,14.76,15.83,16.46,16.18,27.25678,32.87,36.08,34.44,35.97,46.58,53.76,N/A
Preston County,0.50,0.56,0.57,0.60,0.67,0.71,0.77,0.87,0.95,1.09,1.17,1.18,1.26,1.42,1.60,1.85,1.94,2.25,2.37,2.79,3.52,3.82,4.39,5.88,5.41,6.12,7.27,7.72,8.00,8.29,8.14,9.43,9.71,9.62,10.28,17.07041,20.59,22.59,21.57,22.53,29.17,33.67,29.30
Putnam County,0.31,0.35,0.36,0.39,0.45,0.51,0.55,0.65,0.71,0.84,0.90,1.00,1.12,1.33,1.41,1.60,1.79,2.04,2.34,2.78,3.37,4.47,5.06,5.72,6.79,7.04,8.33,8.89,10.56,10.71,11.68,12.82,12.54,13.97,13.55,25.99291,31.35,34.41,32.85,34.30,44.42,51.26,28.10
Raleigh County,0.51,0.57,0.68,0.71,0.83,0.94,1.16,1.29,1.49,1.77,2.11,2.35,2.81,2.94,3.50,4.35,4.42,4.81,5.43,6.82,8.80,10.18,11.26,15.16,16.47,16.40,18.45,21.09,22.44,22.60,29.56,35.06,36.42,31.15,33.91,59.4409,71.67,78.66,75.10,78.43,101.56,117.21,144.10
Randolph County,0.64,0.75,0.73,0.76,0.81,0.88,0.97,1.08,1.18,1.33,1.37,1.51,1.61,1.77,1.99,2.21,2.34,2.72,2.89,3.36,3.95,4.89,5.74,6.15,7.74,7.40,8.28,8.57,9.55,10.60,10.02,11.34,11.14,11.81,11.34,16.4848,19.88,21.82,20.83,21.75,28.17,32.52,20.00
Ritchie County,0.35,0.37,0.37,0.42,0.47,0.51,0.57,0.64,0.70,0.77,0.83,0.91,0.97,1.08,1.25,1.39,1.53,1.71,1.87,2.23,2.66,3.28,3.71,4.61,4.84,5.38,5.96,6.55,7.14,7.64,8.10,8.36,8.90,9.17,8.79,14.52229,17.51,19.22,18.35,19.16,24.82,28.65,N/A
Roane County,0.37,0.40,0.42,0.47,0.54,0.60,0.66,0.77,0.88,1.03,1.10,1.23,1.36,1.53,1.78,2.04,2.27,2.61,2.93,3.40,4.11,5.06,5.75,6.96,7.46,8.50,9.34,10.54,11.14,12.19,12.51,13.66,14.47,14.95,15.12,20.2701,24.45,26.83,25.62,26.75,34.64,39.98,24.00
Summers County,0.61,0.69,0.73,0.83,0.95,1.10,1.23,1.43,1.63,1.91,2.20,2.46,2.80,3.13,3.88,4.37,4.82,5.64,6.12,7.49,8.32,10.47,12.81,13.40,16.71,16.78,17.12,19.60,21.50,21.32,25.01,24.80,26.67,26.50,27.58,46.45746,56.03,61.48,58.71,61.30,79.38,91.61,69.00
Taylor County,0.60,0.65,0.66,0.71,0.79,0.85,0.93,1.03,1.13,1.24,1.33,1.42,1.51,1.75,1.91,2.10,2.28,2.63,2.81,3.23,3.94,4.63,5.12,6.23,6.64,7.13,7.54,9.09,10.07,9.48,10.23,10.42,10.77,11.47,10.83,19.13128,23.07,25.32,24.18,25.25,32.70,37.74,28.00
Tucker County,0.52,0.55,0.54,0.59,0.63,0.69,0.73,0.81,0.86,0.94,1.01,1.06,1.13,1.23,1.37,1.52,1.70,1.84,1.97,2.27,2.69,3.26,3.57,4.05,4.57,4.99,5.43,5.82,6.12,6.30,6.59,6.85,7.10,6.95,7.09,11.33735,13.67,15.01,14.33,14.96,19.38,22.36,N/A
Tyler County,0.43,0.51,0.48,0.54,0.59,0.66,0.71,0.83,0.97,1.02,1.10,1.22,1.33,1.47,1.71,1.88,2.07,2.29,2.53,3.00,3.59,4.22,4.89,5.54,6.30,6.76,7.65,8.64,9.18,9.49,10.10,10.55,11.49,11.03,11.22,16.16155,19.49,21.39,20.42,21.33,27.62,31.88,N/A
Upshur County,0.46,0.49,0.55,0.56,0.60,0.64,0.69,0.79,0.84,0.92,1.00,1.07,1.14,1.32,1.49,1.67,1.81,1.99,2.14,2.59,3.03,3.62,4.26,5.05,5.30,5.90,6.52,7.65,7.97,7.73,8.24,8.79,8.52,9.35,8.96,13.74553,16.58,18.19,17.37,18.14,23.49,27.11,19.00
Wayne County,0.45,0.50,0.52,0.61,0.71,0.78,0.89,1.08,1.14,1.31,1.49,1.73,1.92,2.08,2.48,2.89,3.07,3.73,3.88,5.08,5.80,7.43,9.21,10.70,11.83,11.78,14.22,15.03,16.30,16.57,21.12,21.85,21.18,23.20,24.69,49.74006,59.99,65.84,62.86,65.63,85.00,98.09,71.10
Webster County,0.71,0.76,0.81,0.91,1.02,1.15,1.25,1.44,1.63,1.81,2.00,2.20,2.41,2.75,3.11,3.45,3.79,4.21,4.74,5.46,6.55,7.92,9.15,10.47,11.46,12.53,13.87,15.21,17.12,17.69,18.29,18.88,20.52,19.90,20.56,29.00177,34.98,38.38,36.65,38.27,49.56,57.20,41.00
Wetzel County,0.37,0.40,0.41,0.47,0.50,0.55,0.60,0.68,0.75,0.84,0.88,1.01,1.06,1.20,1.36,1.56,1.64,1.88,2.09,2.43,2.91,3.58,4.06,4.66,5.44,5.88,6.70,7.05,7.89,8.27,8.55,9.30,9.51,10.01,9.82,19.20184,23.16,25.42,24.27,25.34,32.82,37.88,35.00
Wirt County,0.35,0.38,0.39,0.43,0.48,0.55,0.60,0.69,0.76,0.84,0.93,1.03,1.12,1.26,1.44,1.58,1.77,2.02,2.20,2.57,3.07,3.83,4.36,4.84,5.55,6.32,6.91,7.50,8.00,8.75,8.93,9.60,9.67,10.11,10.29,19.52557,23.55,25.84,24.68,25.77,33.37,38.51,N/A
Wood County,0.40,0.42,0.44,0.53,0.57,0.64,0.65,0.77,0.82,0.90,1.02,1.06,1.13,1.26,1.46,1.65,1.80,2.20,2.30,2.86,3.55,4.03,4.86,5.82,6.45,6.92,8.43,7.90,10.29,9.29,9.87,11.14,11.67,13.21,13.95,24.32067,29.33,32.19,30.74,32.09,41.56,47.97,48.00
Wyoming County,0.77,0.85,0.93,1.11,1.28,1.61,1.77,2.31,2.51,2.94,3.46,3.98,4.54,5.09,5.91,6.84,7.51,8.29,9.40,11.49,13.95,15.93,20.30,25.38,27.07,28.57,33.43,36.03,42.11,39.11,48.39,53.20,52.83,49.68,54.21,75.94189,91.57,100.49,95.95,100.19,129.72,149.70,131.50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drug mortality source:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ghdx.healthdata.org/record/united-states-substance-use-disorders-and-intentional-injuries-mortality-rates-county-1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.countyhealthrankings.org/explore-health-rankings/county-health-rankings-model/health-factors/health-behaviors/alcohol-and-drug-use/drug-overdose-deaths?year=2023&state=54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sfchronicle.com/projects/us-drug-overdose-deaths/?fips=54035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cdc.gov/nchs/data-visualization/drug-poisoning-mortality/index.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
